Wavelength_nm	Energy_eV	VOC_V	JSC_mA/cm2	FF_%	PCE_%
302.43902	4.1	3.46805	1.69E-04	95.63024	5.59E-04
302.58663	4.098	3.46841	1.85E-04	95.63051	6.12E-04
302.73438	4.096	3.46893	2.03E-04	95.63118	6.75E-04
302.88227	4.094	3.46959	2.25E-04	95.6318	7.47E-04
303.0303	4.092	3.4703	2.50E-04	95.63251	8.29E-04
303.17848	4.09	3.47099	2.77E-04	95.63331	9.19E-04
303.32681	4.088	3.47161	3.06E-04	95.6339	0.00102
303.47528	4.086	3.47215	3.37E-04	95.63448	0.00112
303.6239	4.084	3.47256	3.70E-04	95.63487	0.00123
303.77266	4.082	3.47282	4.04E-04	95.63521	0.00134
303.92157	4.08	3.47294	4.38E-04	95.63533	0.00145
304.07062	4.078	3.47296	4.73E-04	95.63535	0.00157
304.21982	4.076	3.47295	5.10E-04	95.63534	0.00169
304.36917	4.074	3.47293	5.50E-04	95.63532	0.00183
304.51866	4.072	3.4729	5.93E-04	95.63529	0.00197
304.6683	4.07	3.4729	6.40E-04	95.63529	0.00213
304.81809	4.068	3.47295	6.92E-04	95.63534	0.0023
304.96803	4.066	3.47303	7.49E-04	95.63542	0.00249
305.11811	4.064	3.47308	8.10E-04	95.63547	0.00269
305.26834	4.062	3.47307	8.75E-04	95.63546	0.0029
305.41872	4.06	3.473	9.41E-04	95.63539	0.00313
305.56925	4.058	3.47285	0.00101	95.63523	0.00335
305.71992	4.056	3.47259	0.00108	95.63491	0.00358
305.87074	4.054	3.47222	0.00115	95.63454	0.00381
306.02172	4.052	3.47177	0.00122	95.6341	0.00404
306.17284	4.05	3.47126	0.00129	95.63352	0.00428
306.32411	4.048	3.47073	0.00136	95.63302	0.00453
306.47553	4.046	3.47018	0.00144	95.63243	0.00478
306.6271	4.044	3.46963	0.00152	95.63186	0.00505
306.77882	4.042	3.46914	0.00161	95.63136	0.00535
306.93069	4.04	3.46868	0.00171	95.63088	0.00567
307.08271	4.038	3.46825	0.00181	95.6304	0.00602
307.23489	4.036	3.46785	0.00193	95.63006	0.0064
307.38721	4.034	3.46748	0.00205	95.62958	0.00681
307.53968	4.032	3.46712	0.00218	95.62926	0.00724
307.69231	4.03	3.46671	0.00232	95.62886	0.0077
307.84508	4.028	3.46625	0.00246	95.62831	0.00816
307.99801	4.026	3.46573	0.0026	95.62784	0.00863
308.15109	4.024	3.46516	0.00275	95.62721	0.00911
